id,Category,Subcategory,Subsubcategory,Subsubsubcategory,Quintile,Elasticity
342,Biscuits and crispbreads,Biscuits other than chocolate,0,0,2,-0.169591949
343,Biscuits and crispbreads,Biscuits other than chocolate,Cream crackers and other unsweetened biscuits,0,2,0.489429841
344,Biscuits and crispbreads,Biscuits other than chocolate,Sweet biscuits (not chocolate) and cereal bars,0,2,-0.494180858
345,Biscuits and crispbreads,Chocolate biscuits,0,0,2,0.76473256
346,Biscuits and crispbreads,Crispbread,0,0,2,-0.459349157
347,Bread,0,0,0,2,0.90576092
348,Bread,Brown and wholemeal bread,0,0,2,-0.297674973
349,Bread,Brown and wholemeal bread,"Brown bread, sliced and unsliced",0,2,0.57805003
350,Bread,Brown and wholemeal bread,"Wholemeal and granary bread, sliced and unsliced",0,2,-0.727508765
351,Bread,Total other bread,0,0,2,0.390387228
352,Bread,Total other bread,Malt bread and fruit loaves,0,2,0.975247484
353,Bread,Total other bread,Other breads,0,2,2.264498501
354,Bread,Total other bread,"Rolls - white, brown or wholemeal",0,2,2.1302819
355,Bread,Total other bread,Sandwiches,0,2,1.258947144
356,Bread,Total other bread,Sandwiches from takeaway,0,2,0.609008197
357,Bread,Total other bread,Starch reduced bread and rolls,0,2,2.019788195
358,Bread,Total other bread,Takeaway breads,0,2,1.157166423
359,Bread,Total other bread,Vienna and french bread,0,2,0.582415717
360,Bread,White bread,0,0,2,1.287270494
361,Bread,White bread,"White bread, premium, sliced and unsliced",0,2,3.141285164
362,Bread,White bread,"White bread, soft grain, sliced and unsliced",0,2,0.97785043
363,Bread,White bread,"White bread, standard, sliced",0,2,0.809313194
364,Bread,White bread,"White bread, standard, unsliced",0,2,3.275848765
365,"Cakes, buns and pastries",0,0,0,2,-1.10265435
366,"Cakes, buns and pastries","Buns, scones and teacakes",0,0,2,-0.098942887
367,"Cakes, buns and pastries",Cakes and pastries,0,0,2,-2.284759108
368,"Cakes, buns and pastries",Cakes and pastries,"Cakes and pastries, not frozen",0,2,-2.239257898
369,"Cakes, buns and pastries",Cakes and pastries,Takeaway pastries,0,2,0.832241325
370,Carcase meat,0,0,0,2,1.428214156
371,Carcase meat,Beef and veal,0,0,2,1.803690578
372,Carcase meat,Beef and veal,All other beef and veal,0,2,0.029801207
373,Carcase meat,Beef and veal,Beef joints - boned,0,2,2.217353217
374,Carcase meat,Beef and veal,Beef joints - on the bone,0,2,1.681506353
375,Carcase meat,Beef and veal,Beef steak - less expensive,0,2,1.114552112
376,Carcase meat,Beef and veal,Beef steak - more expensive,0,2,1.568375722
377,Carcase meat,Beef and veal,Minced beef,0,2,0.273012146
378,Carcase meat,Mutton and lamb,0,0,2,1.210576186
379,Carcase meat,Mutton and lamb,All other lamb,0,2,1.238062548
380,Carcase meat,Mutton and lamb,Lamb chops,0,2,1.628768055
381,Carcase meat,Mutton and lamb,Lamb joints,0,2,1.17790904
382,Carcase meat,Mutton and lamb,Mutton,0,2,1.685715999
383,Carcase meat,Pork,0,0,2,0.424354916
384,Carcase meat,Pork,All other pork,0,2,-1.324423443
385,Carcase meat,Pork,Pork chops,0,2,1.252097195
386,Carcase meat,Pork,Pork fillets and steaks,0,2,1.55248202
387,Carcase meat,Pork,Pork joints,0,2,1.356813374
388,Cheese,0,0,0,2,-0.291749387
389,Cheese,Natural cheese,0,0,2,-0.275588138
390,Cheese,Natural cheese,Cottage cheese,0,2,0.675807838
391,Cheese,Natural cheese,Hard cheese - cheddar type,0,2,-0.267748978
392,Cheese,Natural cheese,Hard cheese - edam or other foreign,0,2,0.780611783
393,Cheese,Natural cheese,Hard cheese - other uk or foreign equivalent,0,2,1.308086403
394,Cheese,Natural cheese,Soft natural cheese,0,2,2.502651671
395,Cheese,Processed cheese,0,0,2,-0.291114908
396,Confectionery,0,0,0,2,0.212087304
397,Confectionery,Chewing gum,0,0,2,0.985962733
398,Confectionery,Chocolate bars - filled,0,0,2,-0.016512243
399,Confectionery,Chocolate bars - solid,0,0,2,0.454622284
400,Confectionery,"Fudges, toffees, caramels",0,0,2,0.029861473
401,Confectionery,Mints and boiled sweets,0,0,2,0.291828041
402,Confectionery,Mints and boiled sweets,Boiled sweets,0,2,0.525466733
403,Confectionery,Mints and boiled sweets,Mints,0,2,1.95567437
404,Eggs,0,0,0,2,0.192399135
405,Fats,0,0,0,2,0.72117122
406,Fats,All other fats,0,0,2,1.700032189
407,Fats,All other fats,Imitatation cream,0,2,0.897712101
408,Fats,All other fats,Low fat spreads,0,2,0.902274215
409,Fats,All other fats,Reduced fat spreads,0,2,1.175439358
410,Fats,All other fats,Suet and dripping,0,2,0.462772937
411,Fats,Butter,0,0,2,0.212103583
412,Fats,Margarine,0,0,2,-0.829345025
413,Fats,Margarine,Other margarine,0,2,-0.094180474
414,Fats,Margarine,Soft margarine,0,2,-0.866895256
415,Fats,Vegetable and salad oils,0,0,2,0.298815708
416,Fats,Vegetable and salad oils,Olive oil,0,2,1.086176467
417,Fats,Vegetable and salad oils,Other vegetable and salad oils,0,2,0.379523714
418,Fish,0,0,0,2,2.312833401
419,Fish,"Blue fish, dried or salted or smoked",0,0,2,-0.247879289
420,Fish,"Herrings and other blue fish, fresh, chilled or frozen",0,0,2,1.083602916
421,Fish,"Herrings and other blue fish, fresh, chilled or frozen","Herrings and other blue fish, fresh or chilled",0,2,0.926790178
422,Fish,"Herrings and other blue fish, fresh, chilled or frozen","Herrings and other blue fish, frozen",0,2,0.717080026
423,Fish,Other tinned or bottled fish,0,0,2,0.663544038
424,Fish,Ready meals and other fish products - frozen or not frozen,0,0,2,-1.689303703
425,Fish,"Salmon, fresh, chilled or frozen",0,0,2,-0.572356435
426,Fish,"Salmon, fresh, chilled or frozen","Salmon, fresh or chilled",0,2,-0.399705179
427,Fish,"Salmon, fresh, chilled or frozen","Salmon, frozen",0,2,0.097025249
428,Fish,"Salmon, tinned",0,0,2,2.009653698
429,Fish,Shellfish,0,0,2,1.69239345
430,Fish,Shellfish,"Shellfish, fresh or chilled",0,2,2.017916824
431,Fish,Shellfish,"Shellfish, frozen",0,2,-0.54928915
432,Fish,Takeaway fish,0,0,2,2.162101473
433,Fish,Takeaway fish meals and fish products,0,0,2,0.68383639
434,Fish,Takeaway fish meals and fish products,Takeaway fish based meals,0,2,1.259481248
435,Fish,Takeaway fish meals and fish products,Takeaway fish products,0,2,1.044445197
436,Fish,"White fish, dried, salted or smoked",0,0,2,-0.286298594
437,Fish,"White fish, fresh, chilled or frozen",0,0,2,0.800994286
438,Fish,"White fish, fresh, chilled or frozen","White fish, fresh or chilled",0,2,1.804096024
439,Fish,"White fish, fresh, chilled or frozen","White fish, frozen",0,2,-0.472059721
440,Flour,0,0,0,2,0.23719622
441,Fresh and processed fruit,0,0,0,2,0.966504778
442,Fresh and processed fruit,Fresh fruit,0,0,2,0.596081544
443,Fresh and processed fruit,Fresh fruit,Fresh apples,0,2,1.115955311
444,Fresh and processed fruit,Fresh fruit,Fresh bananas,0,2,0.054089687
445,Fresh and processed fruit,Fresh fruit,Fresh grapes,0,2,1.620375798
446,Fresh and processed fruit,Fresh fruit,Fresh melons,0,2,0.714123178
447,Fresh and processed fruit,Fresh fruit,Fresh oranges,0,2,-0.23665061
448,Fresh and processed fruit,Fresh fruit,Fresh pears,0,2,0.275506578
449,Fresh and processed fruit,Fresh fruit,Fresh stone fruit,0,2,1.228029408
450,Fresh and processed fruit,Fresh fruit,Other fresh citrus fruits,0,2,1.035003079
451,Fresh and processed fruit,Fresh fruit,Other fresh fruit,0,2,-0.065389712
452,Fresh and processed fruit,Fresh fruit,Other fresh soft fruit,0,2,-0.749863346
453,Fresh and processed fruit,Processed fruit and fruit products,0,0,2,0.886969203
454,Fresh and processed fruit,Processed fruit and fruit products,All other tinned or bottled fruit,0,2,0.518032287
455,Fresh and processed fruit,Processed fruit and fruit products,Dried fruit,0,2,0.389806836
456,Fresh and processed fruit,Processed fruit and fruit products,"Frozen strawberries, apple slices, peach halves, oranges and other frozen fruits",0,2,2.243233938
457,Fresh and processed fruit,Processed fruit and fruit products,"Nuts, edible seeds and peanut butter",0,2,-1.068750316
458,Fresh and processed fruit,Processed fruit and fruit products,"Nuts, edible seeds and peanut butter",Nuts and edible seeds,2,-1.147733599
459,Fresh and processed fruit,Processed fruit and fruit products,"Nuts, edible seeds and peanut butter",Peanut butter,2,-0.033503076
460,Fresh and processed fruit,Processed fruit and fruit products,Pure fruit juices,0,2,0.12607959
461,Fresh and processed fruit,Processed fruit and fruit products,"Tinned peaches, pears and pineapples",0,2,-0.020816817
462,"Fresh and processed fruit and vegetables, excluding potatoes",0,0,0,2,0.722441493
463,"Fresh and processed fruit and vegetables, including potatoes",0,0,0,2,1.2605278
464,Fresh and processed potatoes,0,0,0,2,1.544834873
465,Fresh and processed potatoes,Fresh potatoes,0,0,2,1.104015129
466,Fresh and processed potatoes,Fresh potatoes,Fresh baking potatoes (e),0,2,0.253745319
467,Fresh and processed potatoes,Fresh potatoes,Fresh new potatoes (e),0,2,1.635305066
468,Fresh and processed potatoes,Fresh potatoes,Other fresh potatoes (e),0,2,0.902889859
469,Fresh and processed potatoes,Processed potatoes,0,0,2,-0.005459142
470,Fresh and processed potatoes,Processed potatoes,Chips and takeaway chips,0,2,-0.017086162
471,Fresh and processed potatoes,Processed potatoes,Chips and takeaway chips,Chips - frozen or not frozen,2,0.420346968
472,Fresh and processed potatoes,Processed potatoes,Chips and takeaway chips,Takeaway chips,2,2.085643247
473,Fresh and processed potatoes,Processed potatoes,Crisps and potato snacks,0,2,0.078914139
474,Fresh and processed potatoes,Processed potatoes,Instant potato,0,2,0.164275146
475,Fresh and processed potatoes,Processed potatoes,"Other potato products, frozen or not frozen",0,2,1.402319724
476,"Fresh and processed vegetables, excluding potatoes",0,0,0,2,0.490807826
477,"Fresh and processed vegetables, excluding potatoes",Fresh green vegetables,0,0,2,1.385499072
478,"Fresh and processed vegetables, excluding potatoes",Fresh green vegetables,Fresh beans,0,2,0.639923333
479,"Fresh and processed vegetables, excluding potatoes",Fresh green vegetables,Fresh brussels sprouts,0,2,1.529413014
480,"Fresh and processed vegetables, excluding potatoes",Fresh green vegetables,Fresh cabbages,0,2,1.012547988
481,"Fresh and processed vegetables, excluding potatoes",Fresh green vegetables,Fresh cauliflower,0,2,1.216846359
482,"Fresh and processed vegetables, excluding potatoes",Fresh green vegetables,Fresh peas,0,2,1.059599118
483,"Fresh and processed vegetables, excluding potatoes",Fresh green vegetables,Leafy salads fresh,0,2,0.567806234
484,"Fresh and processed vegetables, excluding potatoes",Fresh green vegetables,Leafy salads fresh,Lettuce and leafy salads,2,-0.617212109
485,"Fresh and processed vegetables, excluding potatoes",Fresh green vegetables,Leafy salads fresh,Prepared lettuce salads,2,1.123862999
486,"Fresh and processed vegetables, excluding potatoes",Fresh green vegetables,Other fresh green vegetables,0,2,-0.035445848
487,"Fresh and processed vegetables, excluding potatoes",Other fresh vegetables,0,0,2,-0.107526347
488,"Fresh and processed vegetables, excluding potatoes",Other fresh vegetables,Fresh carrots,0,2,0.016703872
489,"Fresh and processed vegetables, excluding potatoes",Other fresh vegetables,Fresh cucumbers,0,2,0.751918381
490,"Fresh and processed vegetables, excluding potatoes",Other fresh vegetables,Fresh mushrooms,0,2,0.299139461
491,"Fresh and processed vegetables, excluding potatoes",Other fresh vegetables,"Fresh onions, leeks and shallots",0,2,0.738214844
492,"Fresh and processed vegetables, excluding potatoes",Other fresh vegetables,Fresh tomatoes,0,2,0.790131216
493,"Fresh and processed vegetables, excluding potatoes",Other fresh vegetables,Fresh turnips and swede,0,2,1.514854224
494,"Fresh and processed vegetables, excluding potatoes",Other fresh vegetables,Miscellaneous fresh vegtables,0,2,1.837538558
495,"Fresh and processed vegetables, excluding potatoes",Other fresh vegetables,Miscellaneous fresh vegtables,Fresh herbs,2,0.692006378
496,"Fresh and processed vegetables, excluding potatoes",Other fresh vegetables,Miscellaneous fresh vegtables,"Fresh marrow, courgettes, aubergine, pumpkin and other vegetables",2,2.22851629
497,"Fresh and processed vegetables, excluding potatoes",Other fresh vegetables,Miscellaneous fresh vegtables,Fresh stem vegetables,2,0.420697626
498,"Fresh and processed vegetables, excluding potatoes",Other fresh vegetables,Miscellaneous fresh vegtables,"Fresh vegetable stewpack, stirfry pack etc.",2,1.402069883
499,"Fresh and processed vegetables, excluding potatoes",Other fresh vegetables,Other fresh root vegetables,0,2,0.652227609
500,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,0,0,2,0.638412335
501,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,Beans canned,0,2,0.10396988
502,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,Beans canned,Baked beans in sauce,2,0.2324203
503,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,Beans canned,Other canned beans and pulses,2,-0.16770965
504,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,"Beans, frozen",0,2,-0.381817137
505,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,Dried pulses other than air-dried,0,2,0.552443004
506,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,Other canned vegetables,0,2,2.404127633
507,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,Other frozen vegetables,0,2,0.289777091
508,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,"Peas, canned",0,2,1.764775053
509,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,"Peas, frozen",0,2,0.407577316
510,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,Ready meals and other vegetable products (inc takeaways),0,2,0.533564772
511,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,Ready meals and other vegetable products (inc takeaways),All vegetable takeaway products,2,1.337624775
512,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,Ready meals and other vegetable products (inc takeaways),"Ready meals and other vegetable products, frozen or not frozen",2,0.692214632
513,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,"Tomatoes, canned or bottled",0,2,-0.045877092
514,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,Vegetable juices and purees,0,2,1.224159393
515,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,Vegetable juices and purees,Tomato puree and vegetable purees,2,0.975984905
516,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,Vegetable juices and purees,"Vegetable juices eg tomato juice, carrot juice",2,0.275746897
517,"Fresh and processed vegetables, including potatoes",0,0,0,2,1.341288826
518,Milk and milk products excluding cheese,0,0,0,2,-0.029459427
519,Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",0,0,2,-1.872775033
520,Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare","Liquid wholemilk, full price",0,2,-1.755639966
521,Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare","Liquid wholemilk, full price",Pasteurised/ homogenised,2,-1.607522883
522,Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare","Liquid wholemilk, full price",Sterilised,2,4.218536082
523,Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare","Liquid wholemilk, full price",UHT milk,2,-0.927639092
524,Milk and milk products excluding cheese,Other milk and cream,0,0,2,0.179769469
525,Milk and milk products excluding cheese,Other milk and cream,Condensed or evaporated milk,0,2,1.451841791
526,Milk and milk products excluding cheese,Other milk and cream,Cream,0,2,1.044582651
527,Milk and milk products excluding cheese,Other milk and cream,Infant milks,0,2,-0.540073653
528,Milk and milk products excluding cheese,Other milk and cream,Infant milks,Infant or baby milks - dried,2,-0.323739978
529,Milk and milk products excluding cheese,Other milk and cream,Infant milks,Infant or baby milks - ready to drink,2,1.00745855
530,Milk and milk products excluding cheese,Other milk and cream,Other milks and dairy desserts,0,2,0.993592987
531,Milk and milk products excluding cheese,Other milk and cream,Other milks and dairy desserts,Dairy desserts - not frozen,2,0.447055906
532,Milk and milk products excluding cheese,Other milk and cream,Other milks and dairy desserts,Dried milk products,2,0.318848484
533,Milk and milk products excluding cheese,Other milk and cream,Other milks and dairy desserts,Milk drinks and other milks (d),2,1.294659039
534,Milk and milk products excluding cheese,Other milk and cream,Other milks and dairy desserts,Non-dairy milk substitutes (d),2,1.535718452
535,Milk and milk products excluding cheese,Other milk and cream,Skimmed milks,0,2,0.250085852
536,Milk and milk products excluding cheese,Other milk and cream,Skimmed milks,Fully skimmed milk,2,-0.112938645
537,Milk and milk products excluding cheese,Other milk and cream,Skimmed milks,Semi-skimmed milk,2,0.288746271
538,Milk and milk products excluding cheese,Other milk and cream,Yoghurt and fromage frais,0,2,1.697074415
539,Milk and milk products excluding cheese,Other milk and cream,Yoghurt and fromage frais,Fromage frais,2,1.867287121
540,Milk and milk products excluding cheese,Other milk and cream,Yoghurt and fromage frais,Yoghurt,2,1.48503943
541,Non-carcase meat and meat products,0,0,0,2,-0.424906419
542,Non-carcase meat and meat products,All offal other than liver,0,0,2,-0.336305301
543,Non-carcase meat and meat products,"Bacon and ham, cooked",0,0,2,0.160200881
544,Non-carcase meat and meat products,"Bacon and ham, uncooked",0,0,2,-0.652910951
545,Non-carcase meat and meat products,"Bacon and ham, uncooked","Bacon and ham joints, uncooked",0,2,0.17934022
546,Non-carcase meat and meat products,"Bacon and ham, uncooked","Bacon and ham rashers, uncooked",0,2,-1.048190473
547,Non-carcase meat and meat products,"Burgers, frozen or not frozen",0,0,2,0.094768611
548,Non-carcase meat and meat products,"Chicken, uncooked - whole chicken or chicken pieces",0,0,2,0.016154057
549,Non-carcase meat and meat products,Cooked poultry not purchased in cans,0,0,2,1.648405256
550,Non-carcase meat and meat products,Cooked poultry not purchased in cans,"Chicken and turkey, cooked",0,2,1.634086757
551,Non-carcase meat and meat products,Cooked poultry not purchased in cans,Takeaway chicken,0,2,0.903654386
552,Non-carcase meat and meat products,"Corned beef, canned or sliced",0,0,2,0.813990828
553,Non-carcase meat and meat products,Liver,0,0,2,-0.045998634
554,Non-carcase meat and meat products,Liver,Lambs liver,0,2,-0.880501944
555,Non-carcase meat and meat products,Meat pastes and spreads,0,0,2,0.099815272
556,Non-carcase meat and meat products,"Meat pies and sausage rolls, ready to eat",0,0,2,-3.351029388
557,Non-carcase meat and meat products,"Meat pies and sausage rolls, ready to eat","Meat pies, ready to eat",0,2,-1.527348109
558,Non-carcase meat and meat products,"Meat pies and sausage rolls, ready to eat","Sausage rolls, ready to eat",0,2,0.628600038
559,Non-carcase meat and meat products,"Meat pies, pasties and puddings, frozen or not frozen",0,0,2,-1.140958505
560,Non-carcase meat and meat products,Other canned meat and canned meat products,0,0,2,1.336578246
561,Non-carcase meat and meat products,Other cooked meat,0,0,2,1.31152414
562,Non-carcase meat and meat products,"Other fresh, chilled and frozen meat",0,0,2,0.430258216
563,Non-carcase meat and meat products,"Other poultry, uncooked (including frozen)",0,0,2,1.683035868
564,Non-carcase meat and meat products,"Other poultry, uncooked (including frozen)","Poultry other than chicken or turkey, uncooked",0,2,-0.021873426
565,Non-carcase meat and meat products,"Other poultry, uncooked (including frozen)","Turkey, uncooked - whole turkey or turkey pieces",0,2,1.827449896
566,Non-carcase meat and meat products,Pate and delicatessen type sausage,0,0,2,1.369229967
567,Non-carcase meat and meat products,Pate and delicatessen type sausage,Delicatessen type sausages,0,2,1.097876816
568,Non-carcase meat and meat products,Pate and delicatessen type sausage,Pate,0,2,0.36510662
569,Non-carcase meat and meat products,Ready meals and convenience meat products,0,0,2,0.903291051
570,Non-carcase meat and meat products,Ready meals and convenience meat products,"Complete meat-based ready meals, frozen or not frozen",0,2,0.091434111
571,Non-carcase meat and meat products,Ready meals and convenience meat products,"Other convenience meat products, frozen or not frozen",0,2,1.063370332
572,Non-carcase meat and meat products,"Sausages, uncooked - beef and other sausages",0,0,2,0.876252965
573,Non-carcase meat and meat products,"Sausages, uncooked - pork",0,0,2,0.868649905
574,Non-carcase meat and meat products,Takeaway meats,0,0,2,-0.094271503
575,Non-carcase meat and meat products,Takeaway meats,Takeaway burger and bun,0,2,1.535476088
576,Non-carcase meat and meat products,Takeaway meats,Takeaway kebabs,0,2,-0.020915808
577,Non-carcase meat and meat products,Takeaway meats,Takeaway meat based meals,0,2,-0.42261676
578,Non-carcase meat and meat products,Takeaway meats,Takeaway meat pies and pasties,0,2,2.444397382
579,Non-carcase meat and meat products,Takeaway meats,Takeaway sausages and saveloys,0,2,0.554170908
580,Other cereals and cereal products,0,0,0,2,0.790189132
581,Other cereals and cereal products,Breakfast cereals,0,0,2,-0.29104105
582,Other cereals and cereal products,Breakfast cereals,High fibre breakfast cereals,0,2,-0.476045509
583,Other cereals and cereal products,Breakfast cereals,Muesli,0,2,0.266735469
584,Other cereals and cereal products,Breakfast cereals,Other breakfast cereals,0,2,0.425315349
585,Other cereals and cereal products,Breakfast cereals,Sweetened breakfast cereals,0,2,0.39706941
586,Other cereals and cereal products,Cakes and pastries - frozen,0,0,2,-0.038378527
587,Other cereals and cereal products,Canned milk puddings,0,0,2,0.430540415
588,Other cereals and cereal products,Canned milk puddings,All canned milk puddings,0,2,0.533329897
589,Other cereals and cereal products,Canned milk puddings,Canned or fresh carton custard,0,2,0.804600514
590,Other cereals and cereal products,Infant cereal foods,0,0,2,0.067001221
591,Other cereals and cereal products,"Invalid foods, slimming foods and sports foods",0,0,2,0.192843784
592,Other cereals and cereal products,Oatmeal and oat products,0,0,2,-0.112781033
593,Other cereals and cereal products,Other cereal convenience foods,0,0,2,1.106798745
594,Other cereals and cereal products,Other cereal convenience foods,"Cake, pudding and dessert mixes",0,2,0.976579701
595,Other cereals and cereal products,Other cereal convenience foods,Cereal snacks,0,2,1.068566734
596,Other cereals and cereal products,Other cereal convenience foods,"Other cereal foods, frozen and not frozen",0,2,1.52267556
597,Other cereals and cereal products,Other cereal convenience foods,"Quiches and flans, frozen and not frozen",0,2,-0.458535212
598,Other cereals and cereal products,Other cereal convenience foods,"Takeaway crisps, savoury snacks, popcorn, popadums, prawn crackers",0,2,1.320274592
599,Other cereals and cereal products,Other cereals,0,0,2,0.364070822
600,Other cereals and cereal products,Pasta,0,0,2,0.365630474
601,Other cereals and cereal products,Pasta,Canned pasta,0,2,-0.284043487
602,Other cereals and cereal products,Pasta,Dried and fresh pasta,0,2,0.327745634
603,Other cereals and cereal products,Pasta,Takeaway pasta and noodles,0,2,1.572948257
604,Other cereals and cereal products,Pizza,0,0,2,0.640464375
605,Other cereals and cereal products,Pizza,"Pizzas, frozen and not frozen",0,2,1.00292141
606,Other cereals and cereal products,Pizza,Takeaway pizza,0,2,0.646291232
607,Other cereals and cereal products,Puddings,0,0,2,1.399710346
608,Other cereals and cereal products,Rice,0,0,2,1.135132708
609,Other cereals and cereal products,Rice,Cooked rice,0,2,0.789844086
610,Other cereals and cereal products,Rice,Dried rice,0,2,1.239761388
611,Other cereals and cereal products,Rice,Takeaway rice,0,2,0.698136662
612,Other food and drink,0,0,0,2,1.016524242
613,Other food and drink,Baby foods,0,0,2,1.666070282
614,Other food and drink,Ice cream products including takeaways,0,0,2,0.614216714
615,Other food and drink,Ice cream products including takeaways,"Ice cream cornets, choc-ices, lollies with ice cream",0,2,0.252610255
616,Other food and drink,Ice cream products including takeaways,"Ice lollies, sorbet, frozen mousse, frozen yoghurt",0,2,1.138455794
617,Other food and drink,Ice cream products including takeaways,"Takeaway ice cream, ice cream products, milkshakes",0,2,2.024131777
618,Other food and drink,Ice cream tub or block,0,0,2,1.097263131
619,Other food and drink,Jelly squares or crystals,0,0,2,0.44635694
620,Other food and drink,Mineral or spring waters,0,0,2,1.514880712
621,Other food and drink,Pickles and sauces,0,0,2,0.699396681
622,Other food and drink,Pickles and sauces,Pickles,0,2,-1.066438038
623,Other food and drink,Pickles and sauces,Sauces,0,2,1.172478816
624,Other food and drink,Pickles and sauces,Takeaway sauces and mayonnnaise,0,2,0.308427744
625,Other food and drink,Salt,0,0,2,0.945794041
626,Other food and drink,Soups - canned or cartons,0,0,2,0.578602898
627,Other food and drink,Soups - dehydrated or powdered,0,0,2,0.947480391
628,Other food and drink,Soups - from takeaway,0,0,2,1.316656328
629,Other food and drink,Soya and novel protein foods,0,0,2,2.128559204
630,Other food and drink,Spreads and dressings,0,0,2,1.687366565
631,Other food and drink,Spreads and dressings,Other spreads and dresssings,0,2,-0.06886916
632,Other food and drink,Spreads and dressings,Salad dressings,0,2,1.602321386
633,Other food and drink,Stock cubes and meat and yeast extracts,0,0,2,0.325239413
634,Soft drinks,0,0,0,2,1.043367033
635,Soft drinks,"Soft drinks, concentrated, low calorie",0,0,2,0.390698113
636,Soft drinks,"Soft drinks, concentrated, not low calorie",0,0,2,1.359724417
637,Soft drinks,"Soft drinks, not concentrated,  not low calorie",0,0,2,1.770534051
638,Soft drinks,"Soft drinks, not concentrated, low calorie",0,0,2,-0.33596669
639,Sugar and preserves,0,0,0,2,0.834739689
640,Sugar and preserves,Honey,0,0,2,-0.245016071
641,Sugar and preserves,Jams and fruit curds,0,0,2,-1.247723469
642,Sugar and preserves,Marmalade,0,0,2,-0.627877653
643,Sugar and preserves,Sugar,0,0,2,1.270423987
644,Sugar and preserves,"Syrup, treacle",0,0,2,-0.511275063
645,Alcoholic drinks,0,0,0,3,0.402584275
646,Alcoholic drinks,Alcopops,0,0,3,-1.707527617
647,Alcoholic drinks,Beers,0,0,3,-0.947915672
648,Alcoholic drinks,Ciders and perry,0,0,3,-1.023731795
649,Alcoholic drinks,Fortified wines,0,0,3,2.214205018
650,Alcoholic drinks,Lagers and continental beers,0,0,3,-0.186363649
651,Alcoholic drinks,Liqueurs and cocktails,0,0,3,1.717117909
652,Alcoholic drinks,Spirits,0,0,3,0.664986615
653,Alcoholic drinks,Spirits with mixer,0,0,3,0.949321786
654,Alcoholic drinks,Wine and champagne,0,0,3,-0.602794184
655,Alcoholic drinks,Wine and champagne,"Champagne, sparkling wines and wine with mixer",0,3,-0.134821624
656,Alcoholic drinks,Wine and champagne,Table wine,0,3,-0.614346111
657,Beverages,0,0,0,3,0.006123956
658,Beverages,Cocoa and chocolate drinks,0,0,3,0.970329419
659,Beverages,Coffee beans and ground coffee,0,0,3,0.654320349
660,Beverages,Instant coffee,0,0,3,0.67677859
661,Beverages,Malt drinks and chocolate versions of malted drinks,0,0,3,2.302243805
662,Beverages,Tea,0,0,3,-0.523381951
663,Biscuits and crispbreads,0,0,0,3,0.262847918
664,Biscuits and crispbreads,Biscuits other than chocolate,0,0,3,-0.1001856
665,Biscuits and crispbreads,Biscuits other than chocolate,Cream crackers and other unsweetened biscuits,0,3,0.18742427
666,Biscuits and crispbreads,Biscuits other than chocolate,Sweet biscuits (not chocolate) and cereal bars,0,3,-0.313412093
667,Biscuits and crispbreads,Chocolate biscuits,0,0,3,0.729976843
668,Biscuits and crispbreads,Crispbread,0,0,3,-0.288901334
669,Bread,0,0,0,3,0.689886888
670,Bread,Brown and wholemeal bread,0,0,3,-0.631651453
671,Bread,Brown and wholemeal bread,"Brown bread, sliced and unsliced",0,3,0.307621214
672,Bread,Brown and wholemeal bread,"Wholemeal and granary bread, sliced and unsliced",0,3,-0.954803772
673,Bread,Total other bread,0,0,3,0.608743842
674,Bread,Total other bread,Malt bread and fruit loaves,0,3,1.066333621
675,Bread,Total other bread,Other breads,0,3,2.925533864
676,Bread,Total other bread,"Rolls - white, brown or wholemeal",0,3,1.279538505
677,Bread,Total other bread,Sandwiches,0,3,2.126773411
678,Bread,Total other bread,Sandwiches from takeaway,0,3,0.954025924
679,Bread,Total other bread,Starch reduced bread and rolls,0,3,1.831499885
680,Bread,Total other bread,Takeaway breads,0,3,1.123598483
